country,date,value
Brazil,01/01/2019,0.337191
Brazil,01/01/2019,0.21554
Brazil,01/01/2019,0.0200505
Brazil,01/01/2019,0.0196797
Brazil,01/01/2019,0.10755
Brazil,01/01/2019,0.0520378
Brazil,02/01/2019,0.398329
Brazil,02/01/2019,0.364679
Brazil,02/01/2019,0.0211425
Brazil,02/01/2019,0.0271762
Brazil,02/01/2019,0.10755
Brazil,02/01/2019,0.0614731
Brazil,03/01/2019,0.382605
Brazil,03/01/2019,0.447488
Brazil,03/01/2019,0.0224946
Brazil,03/01/2019,0.0275087
Brazil,03/01/2019,0.10755
Brazil,03/01/2019,0.0590463
Brazil,04/01/2019,0.345475
Brazil,04/01/2019,0.473815
Brazil,04/01/2019,0.0217383
Brazil,04/01/2019,0.0270286
Brazil,04/01/2019,0.107574
Brazil,04/01/2019,0.0533162
Brazil,05/01/2019,0.371316
Brazil,05/01/2019,0.396624
Brazil,05/01/2019,0.0229007
Brazil,05/01/2019,0.0253748
Brazil,05/01/2019,0.114354
Brazil,05/01/2019,0.0573041
Brazil,06/01/2019,0.373639
Brazil,06/01/2019,0.280998
Brazil,06/01/2019,0.022408
Brazil,06/01/2019,0.0242187
Brazil,06/01/2019,0.10755
Brazil,06/01/2019,0.0576627
Brazil,07/01/2019,0.353645
Brazil,07/01/2019,0.491076
Brazil,07/01/2019,0.0225915
Brazil,07/01/2019,0.0273113
Brazil,07/01/2019,0.10755
Brazil,07/01/2019,0.0545771
Brazil,08/01/2019,0.365018
Brazil,08/01/2019,0.505403
Brazil,08/01/2019,0.02218
Brazil,08/01/2019,0.0269624
Brazil,08/01/2019,0.10755
Brazil,08/01/2019,0.0563323
Brazil,09/01/2019,0.374064
Brazil,09/01/2019,0.502713
Brazil,09/01/2019,0.0213106
Brazil,09/01/2019,0.0269093
Brazil,09/01/2019,0.10755
Brazil,09/01/2019,0.0577282
Brazil,10/01/2019,0.378116
Brazil,10/01/2019,0.506668
Brazil,10/01/2019,0.02203
Brazil,10/01/2019,0.0286524
Brazil,10/01/2019,0.10755
Brazil,10/01/2019,0.0583537
Brazil,11/01/2019,0.370613
Brazil,11/01/2019,0.528008
Brazil,11/01/2019,0.021119
Brazil,11/01/2019,0.0234875
Brazil,11/01/2019,0.10755
Brazil,11/01/2019,0.0571957
Brazil,12/01/2019,0.380169
Brazil,12/01/2019,0.457697
Brazil,12/01/2019,0.0230708
Brazil,12/01/2019,0.0266092
Brazil,12/01/2019,0.10755
Brazil,12/01/2019,0.0586705
Brazil,13/01/2019,0.33652
Brazil,13/01/2019,0.319204
Brazil,13/01/2019,0.0220603
Brazil,13/01/2019,0.0241902
Brazil,13/01/2019,0.10755
Brazil,13/01/2019,0.0519341
Brazil,14/01/2019,0.453103
Brazil,14/01/2019,0.502323
Brazil,14/01/2019,0.0218461
Brazil,14/01/2019,0.0271798
Brazil,14/01/2019,0.10755
Brazil,14/01/2019,0.0699262
Brazil,15/01/2019,0.462448
Brazil,15/01/2019,0.520508
Brazil,15/01/2019,0.0223968
Brazil,15/01/2019,0.0278706
Brazil,15/01/2019,0.10755
Brazil,15/01/2019,0.0713684
Brazil,16/01/2019,0.524876
Brazil,16/01/2019,0.525587
Brazil,16/01/2019,0.0195942
Brazil,16/01/2019,0.024138
Brazil,16/01/2019,0.10755
Brazil,16/01/2019,0.0810027
Brazil,17/01/2019,0.5397
Brazil,17/01/2019,0.516368
Brazil,17/01/2019,0.0209848
Brazil,17/01/2019,0.0276242
Brazil,17/01/2019,0.10755
Brazil,17/01/2019,0.0832904
Brazil,18/01/2019,0.526661
Brazil,18/01/2019,0.529606
