country,date,value
EU27 & UK,01/01/2019,1.19489
EU27 & UK,01/01/2019,1.766
EU27 & UK,01/01/2019,0.328556
EU27 & UK,01/01/2019,0.0336055
EU27 & UK,01/01/2019,2.62407
EU27 & UK,01/01/2019,1.57914
EU27 & UK,02/01/2019,1.81161
EU27 & UK,02/01/2019,1.98829
EU27 & UK,02/01/2019,0.382861
EU27 & UK,02/01/2019,0.0412529
EU27 & UK,02/01/2019,2.99699
EU27 & UK,02/01/2019,2.39419
EU27 & UK,03/01/2019,2.3251
EU27 & UK,03/01/2019,2.53554
EU27 & UK,03/01/2019,0.39042
EU27 & UK,03/01/2019,0.0420605
EU27 & UK,03/01/2019,3.31027
EU27 & UK,03/01/2019,3.0728
EU27 & UK,04/01/2019,2.29118
EU27 & UK,04/01/2019,2.59577
EU27 & UK,04/01/2019,0.401851
EU27 & UK,04/01/2019,0.0437312
EU27 & UK,04/01/2019,3.32615
EU27 & UK,04/01/2019,3.02797
EU27 & UK,05/01/2019,1.95139
EU27 & UK,05/01/2019,2.07529
EU27 & UK,05/01/2019,0.402782
EU27 & UK,05/01/2019,0.0357934
EU27 & UK,05/01/2019,3.01765
EU27 & UK,05/01/2019,2.57891
EU27 & UK,06/01/2019,2.05056
EU27 & UK,06/01/2019,1.47251
EU27 & UK,06/01/2019,0.421595
EU27 & UK,06/01/2019,0.0415078
EU27 & UK,06/01/2019,2.9677
EU27 & UK,06/01/2019,2.70998
EU27 & UK,07/01/2019,2.26809
EU27 & UK,07/01/2019,2.44805
EU27 & UK,07/01/2019,0.398681
EU27 & UK,07/01/2019,0.0442728
EU27 & UK,07/01/2019,2.95281
EU27 & UK,07/01/2019,2.99745
EU27 & UK,08/01/2019,2.00031
EU27 & UK,08/01/2019,2.76373
EU27 & UK,08/01/2019,0.357537
EU27 & UK,08/01/2019,0.0408541
EU27 & UK,08/01/2019,2.90741
EU27 & UK,08/01/2019,2.64356
EU27 & UK,09/01/2019,2.22555
EU27 & UK,09/01/2019,2.76979
EU27 & UK,09/01/2019,0.360283
EU27 & UK,09/01/2019,0.0414897
EU27 & UK,09/01/2019,3.10233
EU27 & UK,09/01/2019,2.94123
EU27 & UK,10/01/2019,2.61513
EU27 & UK,10/01/2019,2.77648
EU27 & UK,10/01/2019,0.394089
EU27 & UK,10/01/2019,0.0420271
EU27 & UK,10/01/2019,3.28216
EU27 & UK,10/01/2019,3.4561
EU27 & UK,11/01/2019,2.47951
EU27 & UK,11/01/2019,2.78424
EU27 & UK,11/01/2019,0.369422
EU27 & UK,11/01/2019,0.0430719
EU27 & UK,11/01/2019,3.18964
EU27 & UK,11/01/2019,3.27687
EU27 & UK,12/01/2019,1.82836
EU27 & UK,12/01/2019,2.18461
EU27 & UK,12/01/2019,0.383931
EU27 & UK,12/01/2019,0.0329353
EU27 & UK,12/01/2019,2.85167
EU27 & UK,12/01/2019,2.41632
EU27 & UK,13/01/2019,1.42202
EU27 & UK,13/01/2019,1.78602
EU27 & UK,13/01/2019,0.396736
EU27 & UK,13/01/2019,0.0387286
EU27 & UK,13/01/2019,2.5818
EU27 & UK,13/01/2019,1.87931
EU27 & UK,14/01/2019,1.97245
EU27 & UK,14/01/2019,2.76513
EU27 & UK,14/01/2019,0.368966
EU27 & UK,14/01/2019,0.0442714
EU27 & UK,14/01/2019,2.7485
EU27 & UK,14/01/2019,2.60674
EU27 & UK,15/01/2019,2.12133
EU27 & UK,15/01/2019,2.80542
EU27 & UK,15/01/2019,0.330469
EU27 & UK,15/01/2019,0.0400078
EU27 & UK,15/01/2019,2.82766
EU27 & UK,15/01/2019,2.80351
EU27 & UK,16/01/2019,2.22032
EU27 & UK,16/01/2019,2.8086
EU27 & UK,16/01/2019,0.289741
EU27 & UK,16/01/2019,0.0367074
EU27 & UK,16/01/2019,2.76723
EU27 & UK,16/01/2019,2.93432
EU27 & UK,17/01/2019,2.27121
EU27 & UK,17/01/2019,2.80435
EU27 & UK,17/01/2019,0.357927
EU27 & UK,17/01/2019,0.04374
EU27 & UK,17/01/2019,2.83866
EU27 & UK,17/01/2019,3.00157
EU27 & UK,18/01/2019,2.56651
EU27 & UK,18/01/2019,2.82516
EU27 & UK,18/01/2019,0.384868
EU27 & UK,18/01/2019,0.0465246
EU27 & UK,18/01/2019,3.22954
EU27 & UK,18/01/2019,3.39185
EU27 & UK,19/01/2019,2.38722
EU27 & UK,19/01/2019,2.35185
EU27 & UK,19/01/2019,0.378036
EU27 & UK,19/01/2019,0.0325083
EU27 & UK,19/01/2019,3.41414
EU27 & UK,19/01/2019,3.15489
EU27 & UK,20/01/2019,2.28444
