country,date,value
France,01/01/2019,0.0872075
France,01/01/2019,0.233798
France,01/01/2019,0.0408227
France,01/01/2019,0.0114822
France,01/01/2019,0.367863
France,01/01/2019,0.0588105
France,02/01/2019,0.179681
France,02/01/2019,0.273844
France,02/01/2019,0.042688
France,02/01/2019,0.0126146
France,02/01/2019,0.401653
France,02/01/2019,0.121173
France,03/01/2019,0.206178
France,03/01/2019,0.334913
France,03/01/2019,0.0454866
France,03/01/2019,0.012616
France,03/01/2019,0.460736
France,03/01/2019,0.139041
France,04/01/2019,0.225814
France,04/01/2019,0.345243
France,04/01/2019,0.0465548
France,04/01/2019,0.0143706
France,04/01/2019,0.473751
France,04/01/2019,0.152283
France,05/01/2019,0.232373
France,05/01/2019,0.282152
France,05/01/2019,0.0472577
France,05/01/2019,0.0129426
France,05/01/2019,0.449684
France,05/01/2019,0.156706
France,06/01/2019,0.220371
France,06/01/2019,0.192528
France,06/01/2019,0.0506769
France,06/01/2019,0.0135757
France,06/01/2019,0.428613
France,06/01/2019,0.148613
France,07/01/2019,0.222987
France,07/01/2019,0.354557
France,07/01/2019,0.0456844
France,07/01/2019,0.0139252
France,07/01/2019,0.400733
France,07/01/2019,0.150377
France,08/01/2019,0.199829
France,08/01/2019,0.369112
France,08/01/2019,0.0432187
France,08/01/2019,0.0125918
France,08/01/2019,0.374165
France,08/01/2019,0.134759
France,09/01/2019,0.21717
France,09/01/2019,0.368283
France,09/01/2019,0.0387126
France,09/01/2019,0.0129547
France,09/01/2019,0.423805
France,09/01/2019,0.146454
France,10/01/2019,0.251542
France,10/01/2019,0.370055
France,10/01/2019,0.0443068
France,10/01/2019,0.0126252
France,10/01/2019,0.468332
France,10/01/2019,0.169633
France,11/01/2019,0.250148
France,11/01/2019,0.375498
France,11/01/2019,0.0449784
France,11/01/2019,0.0135713
France,11/01/2019,0.446648
France,11/01/2019,0.168693
France,12/01/2019,0.206691
France,12/01/2019,0.317068
France,12/01/2019,0.0453649
France,12/01/2019,0.0118036
France,12/01/2019,0.386198
France,12/01/2019,0.139387
France,13/01/2019,0.0986765
France,13/01/2019,0.255687
France,13/01/2019,0.0489311
France,13/01/2019,0.012619
France,13/01/2019,0.316719
France,13/01/2019,0.0665449
France,14/01/2019,0.20566
France,14/01/2019,0.364148
France,14/01/2019,0.0412198
France,14/01/2019,0.0139033
France,14/01/2019,0.335126
France,14/01/2019,0.138692
France,15/01/2019,0.239608
France,15/01/2019,0.373717
France,15/01/2019,0.0400385
France,15/01/2019,0.0130009
France,15/01/2019,0.389338
France,15/01/2019,0.161585
France,16/01/2019,0.243583
