country,date,value
Germany,01/01/2019,0.1822
Germany,01/01/2019,0.233287
Germany,01/01/2019,0.0522543
Germany,01/01/2019,0.00304601
Germany,01/01/2019,0.568945
Germany,01/01/2019,0.278262
Germany,02/01/2019,0.324533
Germany,02/01/2019,0.417455
Germany,02/01/2019,0.0688198
Germany,02/01/2019,0.00428949
Germany,02/01/2019,0.712089
Germany,02/01/2019,0.495638
Germany,03/01/2019,0.568338
Germany,03/01/2019,0.442189
Germany,03/01/2019,0.0715098
Germany,03/01/2019,0.00461542
Germany,03/01/2019,0.800222
Germany,03/01/2019,0.867985
Germany,04/01/2019,0.503753
Germany,04/01/2019,0.448282
Germany,04/01/2019,0.0737965
Germany,04/01/2019,0.00434112
Germany,04/01/2019,0.739009
Germany,04/01/2019,0.769349
Germany,05/01/2019,0.404009
Germany,05/01/2019,0.412123
Germany,05/01/2019,0.0729778
Germany,05/01/2019,0.00259233
Germany,05/01/2019,0.618136
Germany,05/01/2019,0.617016
Germany,06/01/2019,0.5102
Germany,06/01/2019,0.248282
Germany,06/01/2019,0.0784537
Germany,06/01/2019,0.00361804
Germany,06/01/2019,0.640024
Germany,06/01/2019,0.779194
Germany,07/01/2019,0.557999
Germany,07/01/2019,0.487289
Germany,07/01/2019,0.0743394
Germany,07/01/2019,0.00567611
Germany,07/01/2019,0.636608
Germany,07/01/2019,0.852196
Germany,08/01/2019,0.308136
Germany,08/01/2019,0.505814
Germany,08/01/2019,0.0689108
Germany,08/01/2019,0.00566914
Germany,08/01/2019,0.618115
Germany,08/01/2019,0.470596
Germany,09/01/2019,0.419298
Germany,09/01/2019,0.509132
Germany,09/01/2019,0.0697457
Germany,09/01/2019,0.00529544
Germany,09/01/2019,0.725934
Germany,09/01/2019,0.640367
Germany,10/01/2019,0.642396
Germany,10/01/2019,0.505276
Germany,10/01/2019,0.074882
Germany,10/01/2019,0.00399909
Germany,10/01/2019,0.787712
Germany,10/01/2019,0.981089
Germany,11/01/2019,0.579793
Germany,11/01/2019,0.500407
Germany,11/01/2019,0.0691461
Germany,11/01/2019,0.00508969
Germany,11/01/2019,0.742688
Germany,11/01/2019,0.88548
Germany,12/01/2019,0.355475
Germany,12/01/2019,0.413329
Germany,12/01/2019,0.0732609
Germany,12/01/2019,0.0033309
Germany,12/01/2019,0.6374
Germany,12/01/2019,0.542893
Germany,13/01/2019,0.19458
Germany,13/01/2019,0.34095
Germany,13/01/2019,0.0751188
Germany,13/01/2019,0.00394185
Germany,13/01/2019,0.561885
Germany,13/01/2019,0.29717
Germany,14/01/2019,0.331962
Germany,14/01/2019,0.512991
Germany,14/01/2019,0.0693993
Germany,14/01/2019,0.00605172
Germany,14/01/2019,0.670288
Germany,14/01/2019,0.506983
Germany,15/01/2019,0.410854
Germany,15/01/2019,0.517809
Germany,15/01/2019,0.0582787
Germany,15/01/2019,0.00347064
Germany,15/01/2019,0.65418
Germany,15/01/2019,0.627471
Germany,16/01/2019,0.432627
