country,date,value
Japan,01/01/2019,0.656905
Japan,01/01/2019,0.484635
Japan,01/01/2019,0.0456645
Japan,01/01/2019,0.0282329
Japan,01/01/2019,0.602347
Japan,01/01/2019,0.939956
Japan,02/01/2019,0.67971
Japan,02/01/2019,0.466598
Japan,02/01/2019,0.0477728
Japan,02/01/2019,0.0291201
Japan,02/01/2019,0.644129
Japan,02/01/2019,0.972587
Japan,03/01/2019,0.717403
Japan,03/01/2019,0.485947
Japan,03/01/2019,0.0494511
Japan,03/01/2019,0.0290405
Japan,03/01/2019,0.65399
Japan,03/01/2019,1.02652
Japan,04/01/2019,0.762134
Japan,04/01/2019,0.491588
Japan,04/01/2019,0.0487976
Japan,04/01/2019,0.0288313
Japan,04/01/2019,0.575835
Japan,04/01/2019,1.09053
Japan,05/01/2019,0.782578
Japan,05/01/2019,0.474678
Japan,05/01/2019,0.0494367
Japan,05/01/2019,0.027808
Japan,05/01/2019,0.56271
Japan,05/01/2019,1.11978
Japan,06/01/2019,0.846468
Japan,06/01/2019,0.449908
Japan,06/01/2019,0.0488733
Japan,06/01/2019,0.0286794
Japan,06/01/2019,0.654501
Japan,06/01/2019,1.2112
Japan,07/01/2019,0.949632
Japan,07/01/2019,0.481881
Japan,07/01/2019,0.0488433
Japan,07/01/2019,0.028014
Japan,07/01/2019,0.624434
Japan,07/01/2019,1.35881
Japan,08/01/2019,0.967631
Japan,08/01/2019,0.485723
Japan,08/01/2019,0.048597
Japan,08/01/2019,0.027272
Japan,08/01/2019,0.587327
Japan,08/01/2019,1.38457
Japan,09/01/2019,1.00535
Japan,09/01/2019,0.484615
Japan,09/01/2019,0.0500631
Japan,09/01/2019,0.0273203
Japan,09/01/2019,0.686698
Japan,09/01/2019,1.43854
Japan,10/01/2019,1.04586
Japan,10/01/2019,0.487828
Japan,10/01/2019,0.0508941
Japan,10/01/2019,0.0290368
Japan,10/01/2019,0.627191
Japan,10/01/2019,1.49651
Japan,11/01/2019,0.952824
Japan,11/01/2019,0.491974
Japan,11/01/2019,0.0471387
Japan,11/01/2019,0.0199526
Japan,11/01/2019,0.588934
Japan,11/01/2019,1.36338
Japan,12/01/2019,0.908576
Japan,12/01/2019,0.474826
Japan,12/01/2019,0.0511335
Japan,12/01/2019,0.0277528
Japan,12/01/2019,0.610941
Japan,12/01/2019,1.30007
Japan,13/01/2019,0.821871
Japan,13/01/2019,0.448962
Japan,13/01/2019,0.0508536
Japan,13/01/2019,0.0274343
Japan,13/01/2019,0.610408
Japan,13/01/2019,1.176
Japan,14/01/2019,0.897989
Japan,14/01/2019,0.467015
Japan,14/01/2019,0.0478283
Japan,14/01/2019,0.0275059
Japan,14/01/2019,0.6191
Japan,14/01/2019,1.28492
Japan,15/01/2019,1.00674
Japan,15/01/2019,0.484544
Japan,15/01/2019,0.0474869
Japan,15/01/2019,0.0268982
Japan,15/01/2019,0.561142
Japan,15/01/2019,1.44054
Japan,16/01/2019,0.979249
Japan,16/01/2019,0.483957
Japan,16/01/2019,0.040175
Japan,16/01/2019,0.021809
Japan,16/01/2019,0.622024
Japan,16/01/2019,1.40119
Japan,17/01/2019,0.970831
Japan,17/01/2019,0.487745
Japan,17/01/2019,0.0488206
Japan,17/01/2019,0.0266017
Japan,17/01/2019,0.59837
Japan,17/01/2019,1.38915
Japan,18/01/2019,0.951885
Japan,18/01/2019,0.49223
Japan,18/01/2019,0.0491952
Japan,18/01/2019,0.0274988
Japan,18/01/2019,0.634539
Japan,18/01/2019,1.36204
Japan,19/01/2019,0.838477
Japan,19/01/2019,0.476082
Japan,19/01/2019,0.0502627
Japan,19/01/2019,0.0271252
Japan,19/01/2019,0.569979
Japan,19/01/2019,1.19977
Japan,20/01/2019,0.845034
Japan,20/01/2019,0.449944
Japan,20/01/2019,0.0497837
Japan,20/01/2019,0.0269797
Japan,20/01/2019,0.568117
Japan,20/01/2019,1.20915
Japan,21/01/2019,0.962953
Japan,21/01/2019,0.481376
Japan,21/01/2019,0.0482913
Japan,21/01/2019,0.0269486
Japan,21/01/2019,0.637112
Japan,21/01/2019,1.37787
Japan,22/01/2019,0.97408
Japan,22/01/2019,0.485591
Japan,22/01/2019,0.0526741
Japan,22/01/2019,0.0275927
Japan,22/01/2019,0.6387
Japan,22/01/2019,1.3938
Japan,23/01/2019,0.953171
Japan,23/01/2019,0.484488
Japan,23/01/2019,0.0573416
Japan,23/01/2019,0.0277545
