country,date,value
Spain,01/01/2019,0.183461
Spain,01/01/2019,0.210812
Spain,01/01/2019,0.0356185
Spain,01/01/2019,0.00693828
Spain,01/01/2019,0.166479
Spain,01/01/2019,0.104418
Spain,02/01/2019,0.188178
Spain,02/01/2019,0.163251
Spain,02/01/2019,0.0453273
Spain,02/01/2019,0.00843998
Spain,02/01/2019,0.171143
Spain,02/01/2019,0.107103
Spain,03/01/2019,0.229916
Spain,03/01/2019,0.282338
Spain,03/01/2019,0.0430082
Spain,03/01/2019,0.00804482
Spain,03/01/2019,0.177407
Spain,03/01/2019,0.130858
Spain,04/01/2019,0.262411
Spain,04/01/2019,0.286276
Spain,04/01/2019,0.0440815
Spain,04/01/2019,0.00815683
Spain,04/01/2019,0.181557
Spain,04/01/2019,0.149353
Spain,05/01/2019,0.203696
Spain,05/01/2019,0.162589
Spain,05/01/2019,0.0497845
Spain,05/01/2019,0.0070008
Spain,05/01/2019,0.179148
Spain,05/01/2019,0.115935
Spain,06/01/2019,0.164222
Spain,06/01/2019,0.119271
Spain,06/01/2019,0.0502873
Spain,06/01/2019,0.00765835
Spain,06/01/2019,0.173303
Spain,06/01/2019,0.093468
Spain,07/01/2019,0.207436
Spain,07/01/2019,0.139419
Spain,07/01/2019,0.0438612
Spain,07/01/2019,0.00829772
Spain,07/01/2019,0.175241
Spain,07/01/2019,0.118064
Spain,08/01/2019,0.216049
Spain,08/01/2019,0.28491
Spain,08/01/2019,0.0386189
Spain,08/01/2019,0.00735336
Spain,08/01/2019,0.174623
Spain,08/01/2019,0.122966
Spain,09/01/2019,0.185292
Spain,09/01/2019,0.287214
Spain,09/01/2019,0.037838
Spain,09/01/2019,0.00770439
Spain,09/01/2019,0.161817
Spain,09/01/2019,0.10546
Spain,10/01/2019,0.202241
Spain,10/01/2019,0.289099
Spain,10/01/2019,0.0413444
Spain,10/01/2019,0.00788902
Spain,10/01/2019,0.179106
Spain,10/01/2019,0.115107
Spain,11/01/2019,0.228156
Spain,11/01/2019,0.294835
Spain,11/01/2019,0.0384697
Spain,11/01/2019,0.00839423
Spain,11/01/2019,0.19763
Spain,11/01/2019,0.129857
Spain,12/01/2019,0.185826
Spain,12/01/2019,0.167019
Spain,12/01/2019,0.0458456
Spain,12/01/2019,0.00662575
Spain,12/01/2019,0.184646
Spain,12/01/2019,0.105764
Spain,13/01/2019,0.173835
Spain,13/01/2019,0.111915
Spain,13/01/2019,0.0451942
Spain,13/01/2019,0.00772074
Spain,13/01/2019,0.174024
Spain,13/01/2019,0.0989395
Spain,14/01/2019,0.233232
Spain,14/01/2019,0.287232
Spain,14/01/2019,0.0388449
Spain,14/01/2019,0.00800395
Spain,14/01/2019,0.158947
Spain,14/01/2019,0.132746
Spain,15/01/2019,0.271513
Spain,15/01/2019,0.292321
Spain,15/01/2019,0.0347786
Spain,15/01/2019,0.0073596
Spain,15/01/2019,0.166026
Spain,15/01/2019,0.154534
Spain,16/01/2019,0.275521
Spain,16/01/2019,0.295778
Spain,16/01/2019,0.031722
Spain,16/01/2019,0.00662286
Spain,16/01/2019,0.170059
Spain,16/01/2019,0.156814
Spain,17/01/2019,0.249792
Spain,17/01/2019,0.29015
Spain,17/01/2019,0.0377076
Spain,17/01/2019,0.00778411
Spain,17/01/2019,0.169172
Spain,17/01/2019,0.142171
Spain,18/01/2019,0.265686
Spain,18/01/2019,0.302126
Spain,18/01/2019,0.0389283
Spain,18/01/2019,0.00843434
Spain,18/01/2019,0.179934
Spain,18/01/2019,0.151217
Spain,19/01/2019,0.192371
Spain,19/01/2019,0.203259
Spain,19/01/2019,0.0456412
Spain,19/01/2019,0.00672721
Spain,19/01/2019,0.173079
Spain,19/01/2019,0.109489
Spain,20/01/2019,0.154868
Spain,20/01/2019,0.140584
Spain,20/01/2019,0.0440547
Spain,20/01/2019,0.00772346
Spain,20/01/2019,0.157595
Spain,20/01/2019,0.0881438
Spain,21/01/2019,0.227956
Spain,21/01/2019,0.295906
Spain,21/01/2019,0.0389266
Spain,21/01/2019,0.00807316
Spain,21/01/2019,0.172536
Spain,21/01/2019,0.129743
Spain,22/01/2019,0.215576
Spain,22/01/2019,0.292854
Spain,22/01/2019,0.0360822
Spain,22/01/2019,0.0072926
Spain,22/01/2019,0.178816
Spain,22/01/2019,0.122697
Spain,23/01/2019,0.148802
Spain,23/01/2019,0.295788
Spain,23/01/2019,0.0364308
Spain,23/01/2019,0.00761711
Spain,23/01/2019,0.143741
Spain,23/01/2019,0.0846918
Spain,24/01/2019,0.190499
Spain,24/01/2019,0.297842
Spain,24/01/2019,0.0384188
Spain,24/01/2019,0.00788491
Spain,24/01/2019,0.138261
Spain,24/01/2019,0.108424
Spain,25/01/2019,0.196377
Spain,25/01/2019,0.30342
Spain,25/01/2019,0.0382561
Spain,25/01/2019,0.00853321
Spain,25/01/2019,0.138495
Spain,25/01/2019,0.111769
Spain,26/01/2019,0.162081
Spain,26/01/2019,0.199752
Spain,26/01/2019,0.0457478
Spain,26/01/2019,0.00667637
Spain,26/01/2019,0.149056
Spain,26/01/2019,0.0922495
Spain,27/01/2019,0.123247
Spain,27/01/2019,0.136595
Spain,27/01/2019,0.047849
Spain,27/01/2019,0.00783917
