country,date,value
United Kingdom,01/01/2019,0.127565
United Kingdom,01/01/2019,0.248642
United Kingdom,01/01/2019,0.0785244
United Kingdom,01/01/2019,0.00307635
United Kingdom,01/01/2019,0.318218
United Kingdom,01/01/2019,0.142444
United Kingdom,02/01/2019,0.250038
United Kingdom,02/01/2019,0.24128
United Kingdom,02/01/2019,0.0842413
United Kingdom,02/01/2019,0.0040527
United Kingdom,02/01/2019,0.394315
United Kingdom,02/01/2019,0.279203
United Kingdom,03/01/2019,0.293553
United Kingdom,03/01/2019,0.308954
United Kingdom,03/01/2019,0.0876354
United Kingdom,03/01/2019,0.00459256
United Kingdom,03/01/2019,0.40067
United Kingdom,03/01/2019,0.327793
United Kingdom,04/01/2019,0.271861
United Kingdom,04/01/2019,0.311697
United Kingdom,04/01/2019,0.0893025
United Kingdom,04/01/2019,0.00470269
United Kingdom,04/01/2019,0.412001
United Kingdom,04/01/2019,0.303571
United Kingdom,05/01/2019,0.22771
United Kingdom,05/01/2019,0.266838
United Kingdom,05/01/2019,0.0887483
United Kingdom,05/01/2019,0.00253857
United Kingdom,05/01/2019,0.372581
United Kingdom,05/01/2019,0.254271
United Kingdom,06/01/2019,0.229554
United Kingdom,06/01/2019,0.219267
United Kingdom,06/01/2019,0.091496
United Kingdom,06/01/2019,0.00360866
United Kingdom,06/01/2019,0.321187
United Kingdom,06/01/2019,0.256329
United Kingdom,07/01/2019,0.150389
United Kingdom,07/01/2019,0.337159
United Kingdom,07/01/2019,0.087666
United Kingdom,07/01/2019,0.00414981
United Kingdom,07/01/2019,0.289846
United Kingdom,07/01/2019,0.16793
United Kingdom,08/01/2019,0.163397
United Kingdom,08/01/2019,0.339877
United Kingdom,08/01/2019,0.0819318
United Kingdom,08/01/2019,0.00396739
United Kingdom,08/01/2019,0.335633
United Kingdom,08/01/2019,0.182456
United Kingdom,09/01/2019,0.25246
United Kingdom,09/01/2019,0.341033
United Kingdom,09/01/2019,0.0809431
United Kingdom,09/01/2019,0.00402282
United Kingdom,09/01/2019,0.396293
United Kingdom,09/01/2019,0.281907
United Kingdom,10/01/2019,0.287205
United Kingdom,10/01/2019,0.342715
United Kingdom,10/01/2019,0.0888275
United Kingdom,10/01/2019,0.00461745
United Kingdom,10/01/2019,0.377607
United Kingdom,10/01/2019,0.320704
United Kingdom,11/01/2019,0.24316
United Kingdom,11/01/2019,0.340675
United Kingdom,11/01/2019,0.0823673
United Kingdom,11/01/2019,0.00457074
United Kingdom,11/01/2019,0.327611
United Kingdom,11/01/2019,0.271522
United Kingdom,12/01/2019,0.10193
United Kingdom,12/01/2019,0.293901
United Kingdom,12/01/2019,0.0843667
United Kingdom,12/01/2019,0.00235747
United Kingdom,12/01/2019,0.293784
United Kingdom,12/01/2019,0.113819
United Kingdom,13/01/2019,0.088154
United Kingdom,13/01/2019,0.25747
United Kingdom,13/01/2019,0.0867425
United Kingdom,13/01/2019,0.00342963
United Kingdom,13/01/2019,0.277329
United Kingdom,13/01/2019,0.0984363
United Kingdom,14/01/2019,0.216909
United Kingdom,14/01/2019,0.337697
United Kingdom,14/01/2019,0.0819426
United Kingdom,14/01/2019,0.00419185
United Kingdom,14/01/2019,0.329333
United Kingdom,14/01/2019,0.24221
United Kingdom,15/01/2019,0.171756
United Kingdom,15/01/2019,0.345226
United Kingdom,15/01/2019,0.0770998
United Kingdom,15/01/2019,0.00398485
United Kingdom,15/01/2019,0.316849
United Kingdom,15/01/2019,0.191789
United Kingdom,16/01/2019,0.197608
United Kingdom,16/01/2019,0.346955
United Kingdom,16/01/2019,0.0650949
United Kingdom,16/01/2019,0.00359298
United Kingdom,16/01/2019,0.329582
United Kingdom,16/01/2019,0.220657
United Kingdom,17/01/2019,0.22731
United Kingdom,17/01/2019,0.34599
United Kingdom,17/01/2019,0.0791958
United Kingdom,17/01/2019,0.00460862
United Kingdom,17/01/2019,0.408591
United Kingdom,17/01/2019,0.253824
United Kingdom,18/01/2019,0.243394
United Kingdom,18/01/2019,0.344241
United Kingdom,18/01/2019,0.0838768
United Kingdom,18/01/2019,0.0048078
United Kingdom,18/01/2019,0.418656
United Kingdom,18/01/2019,0.271783
United Kingdom,19/01/2019,0.230065
United Kingdom,19/01/2019,0.310514
United Kingdom,19/01/2019,0.0830522
United Kingdom,19/01/2019,0.00225462
United Kingdom,19/01/2019,0.3919
United Kingdom,19/01/2019,0.256899
United Kingdom,20/01/2019,0.231362
United Kingdom,20/01/2019,0.253448
United Kingdom,20/01/2019,0.0847279
United Kingdom,20/01/2019,0.00347865
United Kingdom,20/01/2019,0.406782
United Kingdom,20/01/2019,0.258348
United Kingdom,21/01/2019,0.265775
United Kingdom,21/01/2019,0.342217
United Kingdom,21/01/2019,0.0847612
United Kingdom,21/01/2019,0.00413922
United Kingdom,21/01/2019,0.40271
United Kingdom,21/01/2019,0.296775
United Kingdom,22/01/2019,0.277288
United Kingdom,22/01/2019,0.347233
United Kingdom,22/01/2019,0.0804084
United Kingdom,22/01/2019,0.00391596
United Kingdom,22/01/2019,0.407357
United Kingdom,22/01/2019,0.30963
United Kingdom,23/01/2019,0.319773
United Kingdom,23/01/2019,0.347324
United Kingdom,23/01/2019,0.081143
United Kingdom,23/01/2019,0.0041238
United Kingdom,23/01/2019,0.445036
United Kingdom,23/01/2019,0.357071
United Kingdom,24/01/2019,0.32526
United Kingdom,24/01/2019,0.346218
United Kingdom,24/01/2019,0.0857397
United Kingdom,24/01/2019,0.00464633
United Kingdom,24/01/2019,0.415004
United Kingdom,24/01/2019,0.363198
United Kingdom,25/01/2019,0.196211
United Kingdom,25/01/2019,0.345985
United Kingdom,25/01/2019,0.0904569
United Kingdom,25/01/2019,0.00467615
United Kingdom,25/01/2019,0.314591
United Kingdom,25/01/2019,0.219097
United Kingdom,26/01/2019,0.107505
United Kingdom,26/01/2019,0.31758
United Kingdom,26/01/2019,0.0900566
United Kingdom,26/01/2019,0.00239788
United Kingdom,26/01/2019,0.306945
United Kingdom,26/01/2019,0.120045
United Kingdom,27/01/2019,0.101908
United Kingdom,27/01/2019,0.268143
United Kingdom,27/01/2019,0.0969719
United Kingdom,27/01/2019,0.0034763
United Kingdom,27/01/2019,0.363625
United Kingdom,27/01/2019,0.113794
United Kingdom,28/01/2019,0.214681
United Kingdom,28/01/2019,0.342332
United Kingdom,28/01/2019,0.0772807
United Kingdom,28/01/2019,0.00312475
United Kingdom,28/01/2019,0.412802
United Kingdom,28/01/2019,0.239721
United Kingdom,29/01/2019,0.264097
United Kingdom,29/01/2019,0.347844
United Kingdom,29/01/2019,0.0836504
United Kingdom,29/01/2019,0.00395446
United Kingdom,29/01/2019,0.417652
United Kingdom,29/01/2019,0.294902
United Kingdom,30/01/2019,0.293325
United Kingdom,30/01/2019,0.350594
United Kingdom,30/01/2019,0.0782759
United Kingdom,30/01/2019,0.00423875
United Kingdom,30/01/2019,0.442627
United Kingdom,30/01/2019,0.327539
United Kingdom,31/01/2019,0.27526
United Kingdom,31/01/2019,0.344793
United Kingdom,31/01/2019,0.0884138
United Kingdom,31/01/2019,0.00435575
United Kingdom,31/01/2019,0.473059
United Kingdom,31/01/2019,0.307366
United Kingdom,01/02/2019,0.382486
United Kingdom,01/02/2019,0.366448
United Kingdom,01/02/2019,0.0897771
United Kingdom,01/02/2019,0.00426294
United Kingdom,01/02/2019,0.439817
United Kingdom,01/02/2019,0.283107
United Kingdom,02/02/2019,0.291587
United Kingdom,02/02/2019,0.334635
United Kingdom,02/02/2019,0.0916572
United Kingdom,02/02/2019,0.00256164
United Kingdom,02/02/2019,0.436992
United Kingdom,02/02/2019,0.215825
United Kingdom,03/02/2019,0.260172
United Kingdom,03/02/2019,0.288399
United Kingdom,03/02/2019,0.0916493
United Kingdom,03/02/2019,0.00361176
United Kingdom,03/02/2019,0.430146
United Kingdom,03/02/2019,0.192573
United Kingdom,04/02/2019,0.314334
United Kingdom,04/02/2019,0.363744
United Kingdom,04/02/2019,0.0887605
United Kingdom,04/02/2019,0.00430852
United Kingdom,04/02/2019,0.347471
United Kingdom,04/02/2019,0.232662
United Kingdom,05/02/2019,0.341472
United Kingdom,05/02/2019,0.372893
United Kingdom,05/02/2019,0.0854323
United Kingdom,05/02/2019,0.00409772
United Kingdom,05/02/2019,0.373083
United Kingdom,05/02/2019,0.252749
United Kingdom,06/02/2019,0.277469
United Kingdom,06/02/2019,0.371147
United Kingdom,06/02/2019,0.0801905
