country,date,value
United States,01/01/2019,2.10137
United States,01/01/2019,3.56233
United States,01/01/2019,0.178948
United States,01/01/2019,0.363743
United States,01/01/2019,3.0694
United States,01/01/2019,3.64276
United States,02/01/2019,2.21008
United States,02/01/2019,2.93036
United States,02/01/2019,0.190483
United States,02/01/2019,0.436517
United States,02/01/2019,3.49866
United States,02/01/2019,3.83122
United States,03/01/2019,2.55799
United States,03/01/2019,4.20054
United States,03/01/2019,0.203517
United States,03/01/2019,0.46924
United States,03/01/2019,3.32089
United States,03/01/2019,4.43431
United States,04/01/2019,2.48077
United States,04/01/2019,4.42641
United States,04/01/2019,0.203857
United States,04/01/2019,0.456743
United States,04/01/2019,3.15347
United States,04/01/2019,4.30045
United States,05/01/2019,2.446
United States,05/01/2019,3.67258
United States,05/01/2019,0.209391
United States,05/01/2019,0.415185
United States,05/01/2019,2.99523
United States,05/01/2019,4.24018
United States,06/01/2019,2.18897
United States,06/01/2019,2.45232
United States,06/01/2019,0.213379
United States,06/01/2019,0.397246
United States,06/01/2019,2.9156
United States,06/01/2019,3.79461
United States,07/01/2019,1.86554
United States,07/01/2019,3.80813
United States,07/01/2019,0.204479
United States,07/01/2019,0.421686
United States,07/01/2019,2.93172
United States,07/01/2019,3.23395
United States,08/01/2019,2.16197
United States,08/01/2019,4.48933
United States,08/01/2019,0.198693
United States,08/01/2019,0.437056
United States,08/01/2019,2.71916
United States,08/01/2019,3.74781
United States,09/01/2019,2.11841
United States,09/01/2019,4.58574
United States,09/01/2019,0.183752
United States,09/01/2019,0.422724
United States,09/01/2019,3.06678
United States,09/01/2019,3.67231
United States,10/01/2019,2.50968
United States,10/01/2019,4.62149
United States,10/01/2019,0.207945
United States,10/01/2019,0.478
United States,10/01/2019,3.5946
United States,10/01/2019,4.35057
United States,11/01/2019,2.69119
United States,11/01/2019,4.82906
United States,11/01/2019,0.191114
United States,11/01/2019,0.37084
United States,11/01/2019,3.64758
United States,11/01/2019,4.66523
United States,12/01/2019,2.69853
United States,12/01/2019,4.07436
United States,12/01/2019,0.20705
United States,12/01/2019,0.387957
United States,12/01/2019,3.52825
United States,12/01/2019,4.67796
United States,13/01/2019,2.46994
United States,13/01/2019,2.17941
United States,13/01/2019,0.204942
United States,13/01/2019,0.347492
United States,13/01/2019,3.622
United States,13/01/2019,4.28168
United States,14/01/2019,2.67812
United States,14/01/2019,3.81234
United States,14/01/2019,0.199001
United States,14/01/2019,0.409115
United States,14/01/2019,3.74684
United States,14/01/2019,4.64256
United States,15/01/2019,2.97983
United States,15/01/2019,4.61224
United States,15/01/2019,0.191163
United States,15/01/2019,0.423907
United States,15/01/2019,3.702
United States,15/01/2019,5.16558
United States,16/01/2019,2.91995
United States,16/01/2019,4.76084
United States,16/01/2019,0.16443
United States,16/01/2019,0.379857
United States,16/01/2019,3.48075
United States,16/01/2019,5.06178
United States,17/01/2019,2.84394
United States,17/01/2019,4.64577
United States,17/01/2019,0.195377
United States,17/01/2019,0.437966
United States,17/01/2019,3.36872
United States,17/01/2019,4.93003
United States,18/01/2019,2.76461
United States,18/01/2019,4.74423
United States,18/01/2019,0.201
United States,18/01/2019,0.450628
United States,18/01/2019,3.22887
United States,18/01/2019,4.7925
United States,19/01/2019,2.40451
United States,19/01/2019,4.16773
United States,19/01/2019,0.205572
United States,19/01/2019,0.376938
United States,19/01/2019,3.29892
United States,19/01/2019,4.16826
United States,20/01/2019,2.43995
United States,20/01/2019,3.10398
United States,20/01/2019,0.196401
United States,20/01/2019,0.310976
United States,20/01/2019,3.75106
United States,20/01/2019,4.2297
United States,21/01/2019,2.78711
United States,21/01/2019,2.8994
United States,21/01/2019,0.201634
United States,21/01/2019,0.380433
United States,21/01/2019,4.41955
United States,21/01/2019,4.8315
United States,22/01/2019,3.00991
United States,22/01/2019,4.55863
United States,22/01/2019,0.195863
United States,22/01/2019,0.4234
United States,22/01/2019,3.94928
United States,22/01/2019,5.21773
United States,23/01/2019,2.85398
United States,23/01/2019,4.8604
United States,23/01/2019,0.185173
United States,23/01/2019,0.411893
United States,23/01/2019,3.39712
United States,23/01/2019,4.94742
United States,24/01/2019,2.74717
United States,24/01/2019,4.83374
United States,24/01/2019,0.194336
United States,24/01/2019,0.440289
United States,24/01/2019,3.25997
United States,24/01/2019,4.76226
United States,25/01/2019,2.70992
United States,25/01/2019,4.85302
United States,25/01/2019,0.197635
United States,25/01/2019,0.452801
United States,25/01/2019,3.876
United States,25/01/2019,4.6977
United States,26/01/2019,2.94837
United States,26/01/2019,4.12624
United States,26/01/2019,0.205547
United States,26/01/2019,0.397502
United States,26/01/2019,3.90275
United States,26/01/2019,5.11105
United States,27/01/2019,2.70458
United States,27/01/2019,3.06066
United States,27/01/2019,0.220036
United States,27/01/2019,0.355684
United States,27/01/2019,3.63448
United States,27/01/2019,4.68844
United States,28/01/2019,2.51019
United States,28/01/2019,4.18264
United States,28/01/2019,0.181055
United States,28/01/2019,0.376044
United States,28/01/2019,3.5564
United States,28/01/2019,4.35147
United States,29/01/2019,2.62393
United States,29/01/2019,4.73769
United States,29/01/2019,0.193884
United States,29/01/2019,0.411239
United States,29/01/2019,3.87153
United States,29/01/2019,4.54863
United States,30/01/2019,3.08199
United States,30/01/2019,4.74796
United States,30/01/2019,0.177673
United States,30/01/2019,0.396712
United States,30/01/2019,4.40453
United States,30/01/2019,5.34269
United States,31/01/2019,3.37514
United States,31/01/2019,4.69436
United States,31/01/2019,0.192018
United States,31/01/2019,0.418075
United States,31/01/2019,4.60059
United States,31/01/2019,5.85086
United States,01/02/2019,3.79144
United States,01/02/2019,5.30694
United States,01/02/2019,0.201035
United States,01/02/2019,0.441808
United States,01/02/2019,3.91544
United States,01/02/2019,5.6828
United States,02/02/2019,3.27246
United States,02/02/2019,4.55492
United States,02/02/2019,0.20691
United States,02/02/2019,0.392018
United States,02/02/2019,3.39064
United States,02/02/2019,4.90492
United States,03/02/2019,2.53716
United States,03/02/2019,3.31232
United States,03/02/2019,0.203518
United States,03/02/2019,0.343604
United States,03/02/2019,2.79922
United States,03/02/2019,3.80282
United States,04/02/2019,2.25985
United States,04/02/2019,4.57146
United States,04/02/2019,0.193747
United States,04/02/2019,0.393286
United States,04/02/2019,2.69139
United States,04/02/2019,3.38717
United States,05/02/2019,2.61047
