country,year,temp_c,base,anom
Syria,1901,17.908333333333335,18.738333333333333,-0.8299999999999983
Syria,1902,17.483333333333334,18.738333333333333,-1.254999999999999
Syria,1903,16.741666666666667,18.738333333333333,-1.9966666666666661
Syria,1904,17.033333333333335,18.738333333333333,-1.7049999999999983
Syria,1905,17.166666666666668,18.738333333333333,-1.5716666666666654
Syria,1906,17.316666666666666,18.738333333333333,-1.4216666666666669
Syria,1907,16.816666666666666,18.738333333333333,-1.9216666666666669
Syria,1908,16.8,18.738333333333333,-1.9383333333333326
Syria,1909,17.833333333333332,18.738333333333333,-0.9050000000000011
Syria,1910,17.208333333333332,18.738333333333333,-1.5300000000000011
Syria,1911,16.491666666666667,18.738333333333333,-2.246666666666666
Syria,1912,17.45,18.738333333333333,-1.288333333333334
Syria,1913,17.025,18.738333333333333,-1.7133333333333347
Syria,1914,17.55,18.738333333333333,-1.1883333333333326
Syria,1915,18.033333333333335,18.738333333333333,-0.7049999999999983
Syria,1916,18.233333333333334,18.738333333333333,-0.504999999999999
Syria,1917,18.025,18.738333333333333,-0.7133333333333347
Syria,1918,17.900000000000002,18.738333333333333,-0.8383333333333312
Syria,1919,18.091666666666665,18.738333333333333,-0.6466666666666683
Syria,1920,17.283333333333335,18.738333333333333,-1.4549999999999983
Syria,1921,17.025000000000002,18.738333333333333,-1.7133333333333312
Syria,1922,18.058333333333334,18.738333333333333,-0.6799999999999997
Syria,1923,18.108333333333334,18.738333333333333,-0.629999999999999
Syria,1924,18.058333333333334,18.738333333333333,-0.6799999999999997
Syria,1925,18.016666666666666,18.738333333333333,-0.7216666666666676
Syria,1926,17.95,18.738333333333333,-0.788333333333334
Syria,1927,18.041666666666668,18.738333333333333,-0.6966666666666654
Syria,1928,17.8,18.738333333333333,-0.9383333333333326
Syria,1929,17.533333333333335,18.738333333333333,-1.2049999999999983
Syria,1930,18.458333333333332,18.738333333333333,-0.28000000000000114
Syria,1931,17.733333333333334,18.738333333333333,-1.004999999999999
Syria,1932,17.808333333333334,18.738333333333333,-0.9299999999999997
Syria,1933,16.825,18.738333333333333,-1.913333333333334
Syria,1934,17.625,18.738333333333333,-1.1133333333333333
Syria,1935,18.383333333333333,18.738333333333333,-0.3550000000000004
Syria,1936,18.008333333333333,18.738333333333333,-0.7300000000000004
Syria,1937,18.391666666666666,18.738333333333333,-0.34666666666666757
Syria,1938,17.650000000000002,18.738333333333333,-1.0883333333333312
Syria,1939,18.258333333333333,18.738333333333333,-0.4800000000000004
Syria,1940,18.183333333333334,18.738333333333333,-0.5549999999999997
Syria,1941,17.95,18.738333333333333,-0.788333333333334
Syria,1942,17.791666666666668,18.738333333333333,-0.9466666666666654
Syria,1943,17.491666666666667,18.738333333333333,-1.2466666666666661
Syria,1944,17.8,18.738333333333333,-0.9383333333333326
Syria,1945,17.266666666666666,18.738333333333333,-1.4716666666666676
Syria,1946,17.808333333333334,18.738333333333333,-0.9299999999999997
Syria,1947,18.608333333333334,18.738333333333333,-0.129999999999999
Syria,1948,17.150000000000002,18.738333333333333,-1.5883333333333312
Syria,1949,16.974999999999998,18.738333333333333,-1.7633333333333354
Syria,1950,17.275000000000002,18.738333333333333,-1.4633333333333312
Syria,1951,18.216666666666665,18.738333333333333,-0.5216666666666683
Syria,1952,18.525000000000002,18.738333333333333,-0.21333333333333115
Syria,1953,17.366666666666667,18.738333333333333,-1.3716666666666661
Syria,1954,18.341666666666665,18.738333333333333,-0.3966666666666683
Syria,1955,19.099999999999998,18.738333333333333,0.3616666666666646
Syria,1956,17.599999999999998,18.738333333333333,-1.1383333333333354
Syria,1957,17.891666666666666,18.738333333333333,-0.8466666666666676
Syria,1958,18.28333333333333,18.738333333333333,-0.45500000000000185
Syria,1959,17.333333333333332,18.738333333333333,-1.4050000000000011
Syria,1960,18.891666666666666,18.738333333333333,0.15333333333333243
Syria,1961,17.908333333333335,18.738333333333333,-0.8299999999999983
Syria,1962,19.166666666666668,18.738333333333333,0.42833333333333456
Syria,1963,18.341666666666665,18.738333333333333,-0.3966666666666683
Syria,1964,17.341666666666665,18.738333333333333,-1.3966666666666683
Syria,1965,17.816666666666666,18.738333333333333,-0.9216666666666669
Syria,1966,18.983333333333334,18.738333333333333,0.245000000000001
Syria,1967,16.791666666666668,18.738333333333333,-1.9466666666666654
Syria,1968,17.858333333333334,18.738333333333333,-0.879999999999999
Syria,1969,18.091666666666665,18.738333333333333,-0.6466666666666683
Syria,1970,18.425,18.738333333333333,-0.3133333333333326
Syria,1971,17.683333333333334,18.738333333333333,-1.0549999999999997
Syria,1972,16.966666666666665,18.738333333333333,-1.7716666666666683
Syria,1973,17.650000000000002,18.738333333333333,-1.0883333333333312
Syria,1974,17.625,18.738333333333333,-1.1133333333333333
Syria,1975,17.55,18.738333333333333,-1.1883333333333326
Syria,1976,17.208333333333332,18.738333333333333,-1.5300000000000011
Syria,1977,17.841666666666665,18.738333333333333,-0.8966666666666683
Syria,1978,18.133333333333333,18.738333333333333,-0.6050000000000004
Syria,1979,18.616666666666667,18.738333333333333,-0.12166666666666615
Syria,1980,17.75,18.738333333333333,-0.9883333333333333
Syria,1981,18.150000000000002,18.738333333333333,-0.5883333333333312
Syria,1982,17.116666666666667,18.738333333333333,-1.6216666666666661
Syria,1983,17.275000000000002,18.738333333333333,-1.4633333333333312
Syria,1984,17.783333333333335,18.738333333333333,-0.9549999999999983
Syria,1985,18.016666666666666,18.738333333333333,-0.7216666666666676
